,Model Name,Price,Discount,Avg Rating,Rating Count,Review Count,Memory Details,Screen Dimention,Lens Detail,Battery Capacity,Processor,Warranty
749,"Samsung Galaxy S8 Plus (Coral Blue, 64 GB)",53990.0,,4.6,"1,990 Ratings ", 341 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) Quad HD+ Display,12MP Rear Camera | 8MP Front Camera,3500 mAh Battery,Exynos 8895 Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
750,"OPPO F3 Plus (Black, 64 GB)",19999.0,,4.3,"27,128 Ratings "," 5,619 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.24 cm (6 inch) Full HD Display,16MP Rear Camera | 16MP + 8MP Dual Front Camera,4000 mAh Battery,Qualcomm MSM8976 Pro Snapdragon 653 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
751,"Gionee A1 (Grey, 64 GB)",21499.0,,4.0,"5,712 Ratings "," 1,022 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 16MP Front Camera,4010 mAh Li-Ion Polymer Battery,MediaTek MT6755 Helio P10 Octa Core 2.0GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
752,"Apple iPhone 7 Plus (Red, 128 GB)",55990.0,26% off,4.5,"20,999 Ratings "," 2,323 Reviews",128 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year
753,"Vivo V5s Perfect Selfie (Matte Black, 64 GB)",18990.0,,4.3,"15,487 Ratings "," 2,720 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 20MP Front Camera,3000 mAh Li-Ion Battery,MediaTek MT6750 64-bit Octa Core 1.5GHz Processor,Brand Warranty of 1 Year
754,"Panasonic Eluga Ray Max (Gold, 32 GB)",11499.0,,3.7,"15,031 Ratings "," 4,333 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,3000 mAh Li-Ion Polymer Battery,Qualcomm Snapdragon 430 Octa Core 1.4GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
755,"Micromax Evok Note (Champagne, 32 GB)",17000.0,,3.6,"3,936 Ratings ", 989 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4000 mAh Li-Ion Polymer Battery,Mediatek MT6753 Octa Core 1.3GHz Processor,Brand Warranty of 1 Year
756,"Samsung Galaxy S8 Plus (Maple Gold, 64 GB)",53990.0,,4.6,"1,990 Ratings ", 341 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) Quad HD+ Display,12MP Rear Camera | 8MP Front Camera,3500 mAh Battery,Exynos 8895 Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
757,"Vivo V5s Perfect Selfie (Crown Gold, 64 GB)",18990.0,,4.3,"15,487 Ratings "," 2,720 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 20MP Front Camera,3000 mAh Li-Ion Battery,MediaTek MT6750 64-bit Octa Core 1.5GHz Processor,Brand Warranty of 1 Year
758,"CAT S 60 (Black, 32 GB)",44000.0,,4.3,18 Ratings , 6 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,11.94 cm (4.7 inch) Display,13MP Rear Camera | 5MP Front Camera,3800 mAh Battery,Qualcomm MSM8952-3 Processor,1 Year Manufacturer Warranty
759,"Gionee A1 (Black, 64 GB)",12000.0,,4.0,"5,712 Ratings "," 1,022 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 16MP Front Camera,4010 mAh Li-Ion Polymer Battery,MediaTek MT6755 Helio P10 Octa Core 2.0GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
760,"Samsung Galaxy J2 Pro (Black, 16 GB)",10480.0,,4.2,"6,788 Ratings ", 798 Reviews,2 GB RAM | 16 GB ROM |,12.7 cm (5 inch) Display,8MP Rear Camera,2600 mAh Battery,Spreadtrum Quad-Core 1.5GHz Processor,1 Year for Mobile & 6 Months Accessories Warranty
761,"Samsung Galaxy J7 Prime (Gold, 32 GB)",15300.0,,4.2,"19,208 Ratings "," 3,340 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3300 mAh Battery,Exynos 7870 Octa Core 1.6GHz Processor,Brand Warranty of 1 Year
762,"Samsung Galaxy S8 Plus (Midnight Black, 64 GB)",53990.0,,4.6,"1,990 Ratings ", 341 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) Quad HD+ Display,12MP Rear Camera | 8MP Front Camera,3500 mAh Battery,Exynos 8895 Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
763,"Coolpad Cool 1 (Gold, 32 GB)",13200.0,,3.9,"3,130 Ratings ", 663 Reviews,4 GB RAM | 32 GB ROM |,13.97 cm (5.5 inch) Display,13MP Rear Camera | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 652 Octa Core 1.8GHz Processor,1 Year for Mobile & 6 Months for Accessories
764,"Vivo Y66 (Crown Gold, 32 GB)",14990.0,,4.3,"4,489 Ratings ", 742 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 16MP Front Camera,3000 mAh Li-Ion Battery,MediaTek MT6750 64-bit Octa Core 1.5GHz Processor,Brand Warranty of 1 Year
765,"Vivo Y66 (Matte Black, 32 GB)",11900.0,24% off,4.3,"4,489 Ratings ", 742 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 16MP Front Camera,3000 mAh Li-Ion Battery,MediaTek MT6750 64-bit Octa Core 1.5GHz Processor,Brand Warranty of 1 Year
766,"Vivo Y53 (Crown Gold, 16 GB)",11190.0,,4.2,"5,833 Ratings ", 814 Reviews,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) Display,8MP Rear Camera | 5MP Front Camera,2500 mAh Li-Ion Battery,Qualcomm Snapdragon 425 64-bit Quad Core 1.4GHz Processor,Brand Warranty of 1 Year
767,"OPPO F3 Plus (Gold, 64 GB)",16590.0,48% off,4.3,"27,128 Ratings "," 5,619 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.24 cm (6 inch) Full HD Display,16MP Rear Camera | 16MP + 8MP Dual Front Camera,4000 mAh Battery,Qualcomm MSM8976 Pro Snapdragon 653 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
768,"Lenovo K6 Note (Silver, 32 GB)",15904.0,,4.0,"7,538 Ratings "," 1,297 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Display,16MP Rear Camera | 8MP Front Camera,4000 mAh Battery,0,1 Year Lenovo India Warranty
769,"Lenovo K6 Note (Grey/Dark Grey, 32 GB)",15899.0,,4.0,"7,538 Ratings "," 1,297 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Display,16MP Rear Camera | 8MP Front Camera,4000 mAh Battery,Octa Core 1.4GHz Processor,1 Year Lenovo India Warranty
770,"Vivo Y53 (Crown Gold, 16 GB)",11190.0,,4.2,"5,833 Ratings ", 814 Reviews,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) Display,8MP Rear Camera | 5MP Front Camera,2500 mAh Li-Ion Battery,Qualcomm Snapdragon 425 64-bit Quad Core 1.4GHz Processor,Brand Warranty of 1 Year
771,"OPPO F3 Plus (Gold, 64 GB)",16590.0,48% off,4.3,"27,128 Ratings "," 5,619 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.24 cm (6 inch) Full HD Display,16MP Rear Camera | 16MP + 8MP Dual Front Camera,4000 mAh Battery,Qualcomm MSM8976 Pro Snapdragon 653 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
772,"Honor 8 Smart (White, 16 GB)",16699.0,,4.1,527 Ratings , 95 Reviews,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Kirin 650 64-bit ARM A53 Processor,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable"
773,"Lava Z10 (Gold, 16 GB)",11999.0,,4.2,121 Ratings , 41 Reviews,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2620 mAh Battery,64-bit Processor,Brand Warranty of 2 Year Available for Mobile and 6 Months for Accessories
774,"Coolpad Note 5 (Space Grey, 32 GB)",12050.0,,3.9,"2,944 Ratings ", 489 Reviews,4 GB RAM | 32 GB ROM | Expandable Upto 64 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,4010 mAh Battery,ARM MSM8952 Snapdragon 617 ARM Cortex A53 Octa Core 1.5GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
775,"Lenovo Vibe K5 Note (Gold, 64 GB)",10990.0,26% off,4.1,"2,69,166 Ratings "," 52,840 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3500 mAh Li-Ion Polymer Battery,Mediatek Helio P10 64-bit Octa Core 1.8GHz Processor,Brand Warranty of 1 Year
776,"OPPO A57 (Gold, 32 GB)",13500.0,,4.2,"7,560 Ratings "," 1,577 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 16MP Front Camera,2900 mAh Battery,Qualcomm Snapdragon 435 Octa Core 1.4GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
777,"Vivo V5 Plus (Gold, 64 GB)",25990.0,,4.3,"4,445 Ratings ", 847 Reviews,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 20MP + 8MP Dual Front Camera,3055 mAh Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2 GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
778,"mPhone 7 Plus (Gold, 64 GB)",10099.0,,4.1,48 Ratings , 35 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 13MP Front Camera,3000 mAh Battery,MediaTek Processor,1 Year manufacture warranty
779,"Lenovo K6 Note (Grey, 32 GB)",14663.0,,4.1,"3,003 Ratings ", 515 Reviews,3 GB RAM | 32 GB ROM |,13.97 cm (5.5 inch) Display,16MP Rear Camera,4000 mAh Battery,Octa Core 1.4GHz Processor,1 Year Lenovo India Warranty
780,"Yu Yureka Note (Black, 16 GB)",14999.0,,3.7,"5,627 Ratings ", 975 Reviews,3 GB RAM | 16 GB ROM | Expandable Upto 32 GB,15.24 cm (6 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,4000 mAh Li-Polymer Battery,Mediatek MT6753T Octa Core 1.5GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
781,"OPPO A37f (Grey, 16 GB)",10000.0,,4.2,"11,158 Ratings "," 1,967 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2630 mAh Battery,Qualcomm Snapdragon 410 Quad Core 1.2GHz Processor,Brand Warranty of 1 Year
782,"Gionee P7 Max (Gold, 32 GB)",13000.0,,3.8,"8,355 Ratings "," 1,149 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3100 mAh Li-Polymer Battery,Mediatek MT6595 Octa Core 2.2GHz Processor,Brand Warranty of 1 Year Available for Mobile
783,"InFocus Epic 1 (Gold, 32 GB)",10999.0,,3.7,618 Ratings , 188 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,3000 mAh Lithium-ion Polymer Battery,MediaTek MT6797M Helio X20 0 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
784,"Redmi Note 4 (Black, 32 GB)",10999.0,,4.4,"6,35,468 Ratings "," 1,12,121 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
785,"Redmi Note 4 (Gold, 32 GB)",10999.0,,4.4,"6,35,468 Ratings "," 1,12,121 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
786,"Redmi Note 4 (Black, 64 GB)",12999.0,,4.4,"13,18,341 Ratings "," 2,14,910 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
787,"Gionee P7 (Gold, 16 GB)",11010.0,,3.7,698 Ratings , 109 Reviews,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2300 mAh Li-Ion Battery,Quad Core 1.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
788,"Gionee P7 (White, 16 GB)",12000.0,,3.7,698 Ratings , 109 Reviews,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2300 mAh Li-Ion Battery,Quad Core 1.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
789,"Redmi Note 4 (Gold, 64 GB)",12999.0,,4.4,"13,18,341 Ratings "," 2,14,910 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
790,"Redmi Note 4 (Dark Grey, 64 GB)",12999.0,,4.4,"13,18,341 Ratings "," 2,14,910 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,4100 mAh Li-Polymer Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
791,"Gionee P7 (Grey, 16 GB)",12000.0,,3.7,698 Ratings , 109 Reviews,2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2300 mAh Li-Ion Battery,0,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
792,"Vivo V5 (Crown gold, 32 GB)",17980.0,,4.3,"7,617 Ratings "," 1,298 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 20MP Front Camera,3000 mAh Battery,MediaTek MT6750 64-bit Octa Core 1.5GHz Processor,1 Year
793,"Samsung Galaxy S7 Edge (Blue Coral, 32 GB)",39997.0,31% off,4.4,"3,772 Ratings ", 573 Reviews,4 GB RAM | 32 GB ROM | Expandable Upto 200 GB,13.97 cm (5.5 inch) Quad HD Display,12MP Rear Camera | 5MP Front Camera,3600 mAh Li-Ion Battery,Exynos 8890 Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
794,"Gionee S6 Pro (Gold, 64 GB)",10799.0,56% off,3.6,345 Ratings , 76 Reviews,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,13MP Rear Camera,3130 mAh Battery,0,1 Year Gionee Warranty
795,"Samsung Galaxy J5 Prime (Gold, 16 GB)",14500.0,,4.0,"1,191 Ratings ", 349 Reviews,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2400 mAh Li-Ion Battery,Exynos 7570 Quad Core 1.4GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
796,"Samsung Galaxy J5 Prime (Black, 16 GB)",14500.0,,4.0,"1,191 Ratings ", 349 Reviews,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2400 mAh Li-Ion Battery,Exynos 7570 Quad Core 1.4GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
797,"Google Pixel XL (Very Silver, 128 GB)",65000.0,,4.5,"1,275 Ratings ", 282 Reviews,4 GB RAM | 128 GB ROM |,13.97 cm (5.5 inch) Quad HD Display,12.3MP Rear Camera | 8MP Front Camera,3450 mAh Battery,Qualcomm Snapdragon 821 64-bit Quad Core 2.15GHz Processor,Brand Warranty of 1 Year
798,"Apple iPhone 6s (Silver, 32 GB)",23999.0,20% off,4.5,"90,155 Ratings "," 9,209 Reviews",32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,,Apple A9 64-bit processor and M9 Motion Co-processor,Brand Warranty of 1 Year
799,"Alcatel Idol 4 (Dark Grey, 16 GB)",16999.0,,3.7,223 Ratings , 67 Reviews,3 GB RAM | 16 GB ROM | Expandable Upto 512 GB,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,2610 mAh Li-Polymer Battery,MSM8952 Processor,
800,"Alcatel Idol 4 (Metal Silver, 16 GB)",16999.0,,3.7,223 Ratings , 67 Reviews,3 GB RAM | 16 GB ROM | Expandable Upto 512 GB,13.21 cm (5.2 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,2610 mAh Li-Polymer Battery,MSM8952 Processor,
801,"Apple iPhone 6s (Rose Gold, 32 GB)",23999.0,19% off,4.5,"90,155 Ratings "," 9,209 Reviews",32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,,Apple A9 64-bit processor and M9 Motion Co-processor,Brand Warranty of 1 Year
802,"Gionee S6S (Latte Gold, 32 GB)",15999.0,,3.9,"1,940 Ratings ", 477 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3150 mAh Battery,ARM Cortex-A53 Octa Core 1.3GHz Processor,1 year manufacturing warranty
803,"Moto M (Grey, 64 GB)",11999.0,,3.9,"65,860 Ratings "," 13,384 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,3050 mAh Li-Polymer Battery,Mediatek Helio P15 64-bit Octa Core 2.2GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
804,"Moto M (Gold, 64 GB)",16999.0,,3.9,"65,860 Ratings "," 13,384 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,3050 mAh Li-Polymer Battery,MediaTek Helio P15 64-bit Octa Core 2.2GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
805,"Honor Holly 3 (White, 16 GB)",10499.0,,4.0,"10,029 Ratings "," 1,356 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Li-Polymer Battery,Huawei Kirin 620 Octa Core 1.2GHz Processor,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable"
806,"Lenovo Z2 Plus (Black, 32 GB)",15499.0,,3.9,"4,265 Ratings ", 974 Reviews,3 GB RAM | 32 GB ROM |,12.7 cm (5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3500 mAh Li-Ion Battery,Qualcomm Snapdragon 820 Quad Core 2.15GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
807,"Apple iPhone 6s (Space Grey, 32 GB)",23999.0,19% off,4.5,"90,155 Ratings "," 9,209 Reviews",32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year
808,"Google Pixel XL (Very Silver, 32 GB)",55000.0,17% off,4.5,"1,275 Ratings ", 282 Reviews,4 GB RAM | 32 GB ROM |,13.97 cm (5.5 inch) Quad HD Display,12.3MP Rear Camera | 8MP Front Camera,3450 mAh Battery,Qualcomm Snapdragon 821 64-bit Quad Core 2.15GHz Processor,Brand Warranty of 1 Year
809,"Apple iPhone 7 Plus (Gold, 256 GB)",54990.0,21% off,4.5,"20,999 Ratings "," 2,323 Reviews",256 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,,A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year
810,"Samsung Galaxy On8 (Black, 16 GB)",10999.0,18% off,4.3,"83,290 Ratings "," 17,187 Reviews",3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3300 mAh Li-Ion Battery,Exynos 7580 Octa Core 1.6GHz Processor,Brand Warranty of 1 Year
811,"Apple iPhone 7 Plus (Gold, 32 GB)",44900.0,32% off,4.5,"20,999 Ratings "," 2,323 Reviews",32 GB ROM |,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year
812,"Samsung Galaxy J7 Prime (Black, 16 GB)",18328.0,,4.2,"19,208 Ratings "," 3,340 Reviews",3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3300 mAh Battery,Exynos 7870 Octa Core 1.6GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
813,"Apple iPhone 7 (Gold, 32 GB)",27999.0,6% off,4.5,"77,624 Ratings "," 8,112 Reviews",32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year
814,"Panasonic Eluga Note (Champagne Gold, 32 GB)",10990.0,4% off,3.7,"13,750 Ratings "," 3,159 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 5MP Front Camera,3000 mAh Li-Polymer Battery,Cortex A53 64-bit Processor,Brand Warranty of 1 Year
815,"Apple iPhone 7 (Rose Gold, 256 GB)",44990.0,,4.5,"77,624 Ratings "," 8,112 Reviews",256 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,,A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year
816,"Apple iPhone 7 (Silver, 32 GB)",32999.0,17% off,4.5,"77,624 Ratings "," 8,112 Reviews",32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year
817,"Apple iPhone 6s (Gold, 32 GB)",23999.0,19% off,4.5,"90,155 Ratings "," 9,209 Reviews",32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,,Apple A9 64-bit processor and Embedded M9 Motion Co-processor,Brand Warranty of 1 Year
818,Honor 8,29999.0,,4.4,"2,839 Ratings ", 703 Reviews,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,12MP + 12MP | 8MP Front Camera,3000 mAh Li-Polymer Battery,ARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz Processor,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable"
819,"LYF Water 8 (White, 16 GB)",10999.0,,3.7,"1,674 Ratings ", 389 Reviews,3 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2600 mAh Li-Ion Battery,Qualcomm Snapdragon 615 Octa Core 1.5GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
820,"Apple iPhone 7 (Black, 32 GB)",27999.0,6% off,4.5,"77,624 Ratings "," 8,112 Reviews",32 GB ROM |,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,Brand Warranty of 1 Year
821,"Yu Yureka Plus (White, 16 GB)",10700.0,,3.7,"37,281 Ratings "," 8,582 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,2500 mAh Li-Polymer Battery,Qualcomm Snapdragon 615 64-bit Processor,Brand Warranty of 1 Year
822,"Google Pixel XL (Quite Black, 32 GB)",65000.0,,4.5,"1,275 Ratings ", 282 Reviews,4 GB RAM | 32 GB ROM |,13.97 cm (5.5 inch) Quad HD Display,12.3MP Rear Camera | 8MP Front Camera,3450 mAh Battery,Qualcomm Snapdragon 821 64-bit Processor,Brand Warranty of 1 Year
823,"Swipe Elite Max (Onyx Black, 32 GB)",12999.0,,3.6,"4,217 Ratings "," 1,421 Reviews",4 GB RAM | 32 GB ROM | Expandable Upto 32 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Li-Ion Battery,Qualcomm Snapdragon 430 Octa Core 1.4GHz Processor,Brand Warranty of 1 Year
824,Honor 8,29999.0,,4.4,"2,839 Ratings ", 703 Reviews,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) Full HD Display,12MP + 12MP | 8MP Front Camera,3000 mAh Li-Polymer Battery,ARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz Processor,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable"
