,Model Name,Price,Discount,Avg Rating,Rating Count,Review Count,Memory Details,Screen Dimention,Lens Detail,Battery Capacity,Processor,Warranty
301,"Moto One (White, 64 GB)",,,4.1,244 Ratings , 30 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.99 cm (5.9 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 625 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
302,"Motorola One Vision (Sapphire Gradient, 128 GB)",,,4.1,"8,430 Ratings "," 1,151 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 25MP Front Camera,3500 mAh Battery,Samsung Exynos 9609 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
303,"OPPO A5s (Black, 32 GB)",,,4.3,"3,801 Ratings ", 316 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery,MTK MT6765 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
304,"OPPO A5s (Red, 32 GB)",,,4.3,"3,801 Ratings ", 316 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Battery,MTK MT6765 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
305,"Tecno Camon i4 (Midnight Black, 32 GB)",,,3.8,69 Ratings , 7 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 5MP + 8MP | 13MP Front Camera,3500 mAh Battery,0,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase."
306,"Tecno Camon i4 (Aqua Blue, 32 GB)",,,3.8,69 Ratings , 7 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP + 8MP | 16MP Front Camera,3500 mAh Battery,0,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase."
307,"Tecno Camon i4 (Nebula Black, 32 GB)",,,4.1,117 Ratings , 11 Reviews,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,0,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase."
308,"Tecno Camon i4 (Nebula Black, 32 GB)",,,3.8,69 Ratings , 7 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 8MP | 16MP Front Camera,3500 mAh Battery,0,"Tecno 111 Promise: One Time Screen Replacement. 100 days Replacement, (12+1) year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase."
309,"Honor 8X (Blue, 64 GB)",,,4.4,"7,063 Ratings ", 693 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) Full HD+ Display,20MP + 2MP | 16MP Front Camera,3750 mAh Battery,2.2 GHz Kirin 710 Octa Core Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
310,"Mi A2 (Lake Blue, 128 GB)",,,4.1,"1,975 Ratings ", 170 Reviews,6 GB RAM | 128 GB ROM |,15.21 cm (5.99 inch) Full HD+ Display,20MP + 12MP | 20MP Front Camera,3010 mAh Battery,Qualcomm Snapdragon 660 AIE Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
